length,molecular_weight,aromaticity,instability_index,isoelectric_point,gravy,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,label
664,74138.6159,0.03463855421686747,52.001506024096585,6.569075584411621,-0.8629518072289156,0.08885542168674698,0.007530120481927711,0.05421686746987952,0.10692771084337349,0.012048192771084338,0.06325301204819277,0.01957831325301205,0.024096385542168676,0.060240963855421686,0.10993975903614457,0.015060240963855422,0.03162650602409638,0.022590361445783132,0.060240963855421686,0.0963855421686747,0.10391566265060241,0.05421686746987952,0.046686746987951805,0.006024096385542169,0.016566265060240965,nuclear
582,65653.06180000001,0.08591065292096219,62.36168384879737,5.0761426925659165,-1.1001718213058418,0.03264604810996564,0.010309278350515464,0.05670103092783505,0.13402061855670103,0.041237113402061855,0.11168384879725086,0.027491408934707903,0.037800687285223365,0.06701030927835051,0.027491408934707903,0.029209621993127148,0.037800687285223365,0.044673539518900345,0.041237113402061855,0.06872852233676977,0.09106529209621993,0.037800687285223365,0.058419243986254296,0.001718213058419244,0.0429553264604811,nuclear
502,55260.9426,0.06573705179282868,69.27051792828706,5.442867851257325,-0.4215139442231076,0.06772908366533864,0.0398406374501992,0.055776892430278883,0.07569721115537849,0.0398406374501992,0.053784860557768925,0.013944223107569721,0.029880478087649404,0.049800796812749,0.09362549800796813,0.021912350597609563,0.00796812749003984,0.07768924302788845,0.043824701195219126,0.061752988047808766,0.13346613545816732,0.061752988047808766,0.045816733067729085,0.021912350597609563,0.00398406374501992,nuclear
515,58684.4712,0.10097087378640776,47.40097087378648,7.415294456481934,-0.32271844660194177,0.05242718446601942,0.031067961165048542,0.04854368932038835,0.06796116504854369,0.04466019417475728,0.06407766990291262,0.011650485436893204,0.05242718446601942,0.062135922330097085,0.11067961165048544,0.02524271844660194,0.040776699029126215,0.02912621359223301,0.06019417475728155,0.05631067961165048,0.09320388349514563,0.04271844660194175,0.05048543689320388,0.019417475728155338,0.036893203883495145,nuclear
746,83628.5223,0.07372654155495978,60.213418230563285,5.79504222869873,-0.49812332439678286,0.06166219839142091,0.0160857908847185,0.07506702412868632,0.06702412868632708,0.032171581769437,0.06702412868632708,0.030831099195710455,0.020107238605898123,0.03485254691689008,0.1032171581769437,0.0160857908847185,0.01742627345844504,0.08847184986595175,0.040214477211796246,0.08445040214477212,0.07908847184986595,0.03753351206434316,0.0871313672922252,0.01742627345844504,0.024128686327077747,nuclear
423,47707.414300000004,0.08274231678486997,39.97945626477541,5.566890525817871,-0.3860520094562648,0.04964539007092199,0.02127659574468085,0.07565011820330969,0.06619385342789598,0.02127659574468085,0.05200945626477541,0.03309692671394799,0.054373522458628844,0.07565011820330969,0.09219858156028368,0.02364066193853428,0.028368794326241134,0.030732860520094562,0.02364066193853428,0.03546099290780142,0.11583924349881797,0.07092198581560284,0.06855791962174941,0.037825059101654845,0.02364066193853428,nuclear
749,84918.4314,0.0801068090787717,59.21337783711642,5.461908912658691,-0.43057409879839786,0.07209612817089453,0.020026702269692925,0.056074766355140186,0.09612817089452604,0.04539385847797063,0.0520694259012016,0.017356475300400534,0.03337783711615487,0.056074766355140186,0.11882510013351134,0.01602136181575434,0.02403204272363151,0.04672897196261682,0.0534045393858478,0.07209612817089453,0.08411214953271028,0.03871829105473965,0.06275033377837116,0.010680907877169559,0.02403204272363151,nuclear
585,64327.704099999995,0.04102564102564102,81.95811965812007,10.351446723937986,-0.7505982905982906,0.06666666666666667,0.011965811965811967,0.03247863247863248,0.06495726495726496,0.023931623931623933,0.05299145299145299,0.015384615384615385,0.02735042735042735,0.03247863247863248,0.0905982905982906,0.015384615384615385,0.015384615384615385,0.17777777777777778,0.042735042735042736,0.1076923076923077,0.09572649572649573,0.06495726495726496,0.044444444444444446,0.010256410256410256,0.006837606837606838,nuclear
704,78917.7392,0.08806818181818182,33.31664772727281,6.20297565460205,-0.20539772727272732,0.052556818181818184,0.03125,0.05113636363636364,0.06676136363636363,0.045454545454545456,0.07386363636363637,0.026988636363636364,0.06392045454545454,0.061079545454545456,0.09659090909090909,0.032670454545454544,0.046875,0.04261363636363636,0.032670454545454544,0.045454545454545456,0.08096590909090909,0.048295454545454544,0.05823863636363636,0.01278409090909091,0.029829545454545456,nuclear
559,62551.44469999999,0.028622540250447227,60.78944543828281,9.26747531890869,-1.032737030411449,0.07692307692307693,0.005366726296958855,0.06082289803220036,0.09481216457960644,0.012522361359570662,0.044722719141323794,0.014311270125223614,0.028622540250447227,0.08228980322003578,0.1001788908765653,0.016100178890876567,0.03220035778175313,0.07513416815742398,0.04830053667262969,0.09302325581395349,0.10554561717352415,0.06082289803220036,0.03220035778175313,0.007155635062611807,0.008944543828264758,nuclear
321,33783.8154,0.06542056074766354,35.53987538940809,10.182346153259278,-0.480373831775701,0.06853582554517133,0.006230529595015576,0.04361370716510903,0.04672897196261682,0.040498442367601244,0.20249221183800623,0.03426791277258567,0.0529595015576324,0.059190031152647975,0.04361370716510903,0.018691588785046728,0.037383177570093455,0.04672897196261682,0.024922118380062305,0.09034267912772585,0.04984423676012461,0.024922118380062305,0.08411214953271028,0.003115264797507788,0.021806853582554516,nuclear
529,59577.5,0.05103969754253308,37.96427221172019,9.030747413635254,-0.5066162570888468,0.09073724007561437,0.017013232514177693,0.03969754253308128,0.11531190926275993,0.01890359168241966,0.04914933837429111,0.022684310018903593,0.05860113421550094,0.13610586011342155,0.09829867674858223,0.026465028355387523,0.02835538752362949,0.02835538752362949,0.022684310018903593,0.045368620037807186,0.062381852551984876,0.045368620037807186,0.062381852551984876,0.005671077504725898,0.026465028355387523,nuclear
847,94622.1373,0.06257378984651712,52.90687131050799,5.866773033142089,-0.9285714285714286,0.0590318772136954,0.010625737898465172,0.07674144037780402,0.08146399055489964,0.025974025974025976,0.07674144037780402,0.02833530106257379,0.03423848878394333,0.07792207792207792,0.09208972845336481,0.021251475796930343,0.04604486422668241,0.0602125147579693,0.04604486422668241,0.0602125147579693,0.09681227863046045,0.03659976387249114,0.03305785123966942,0.004722550177095631,0.031877213695395513,nuclear
559,61977.948399999994,0.05008944543828265,65.55277280858694,4.832758140563963,-0.6134168157423971,0.08407871198568873,0.016100178890876567,0.0626118067978533,0.1001788908765653,0.025044722719141325,0.06797853309481217,0.01073345259391771,0.03041144901610018,0.04114490161001789,0.10554561717352415,0.03220035778175313,0.028622540250447227,0.06797853309481217,0.059033989266547404,0.07334525939177101,0.08050089445438283,0.044722719141323794,0.044722719141323794,0.008944543828264758,0.016100178890876567,nuclear
856,95049.7942,0.04556074766355141,41.83726635514038,6.107997703552246,-0.427803738317757,0.07710280373831775,0.02102803738317757,0.06658878504672897,0.08294392523364486,0.029205607476635514,0.05957943925233645,0.014018691588785047,0.0514018691588785,0.07359813084112149,0.10630841121495327,0.02453271028037383,0.036214953271028034,0.056074766355140186,0.04205607476635514,0.06775700934579439,0.07009345794392523,0.04088785046728972,0.06425233644859812,0.002336448598130841,0.014018691588785047,nuclear
